query,movie_title,relevance,human_relevance
Action movies starring Akshay Kumar,Ekkadiki Pothavu Chinnavada,5.0,
Documentary showing the history of jazz music and its cultural impact,Standing in the Shadows of Motown,3.0,
Athletes overcoming severe physical injuries to win a championship,The Rebound,5.0,
Science fiction movies directed by Steven Spielberg,War Horse,3.0,
Documentaries featuring Elon Musk,UFC Sound Waves,1.0,
Comedy movies starring Anupam Kher,Changeland,1.0,
Romantic relationship between people from completely different social classes,Mirzya,,
Films starring Maggie Binkley,Backtrack,0.0,
Comedy movies starring Anupam Kher,Hi Life,,
A journey through outer space to find a new habitable planet for humanity,The Wandering Earth,5.0,
High school students forming a music band and dealing with youth problems,Band Aid,1.0,
A lawyer fighting against a corrupt corporation to protect poor citizens,Black November,,
Films directed by John Lasseter,Tin Toy,0.0,
Romantic relationship between people from completely different social classes,Equals,1.0,
Movies starring Anupam Kher,Gumrah,5.0,
A classic revenge story where a protagonist hunts down former betrayers,I Spit on Your Grave 3,3.0,
A struggle against an oppressive dystopian government in a near future,Zombie Strippers,2.0,
Comedy movies starring Bruce Willis,The Bid,1.0,
Films starring Shah Rukh Khan,ESPN Films Presents,0.0,
Documentary showing the history of jazz music and its cultural impact,Cocktail Hour Cities Edition II,1.0,
Documentaries featuring Elon Musk,The Hurt Business,1.0,
Films directed by John Lasseter,Knick Knack Theatrical Short,1.0,
Films starring Samuel L. Jackson,CONFLICTED,0.0,
Documentaries featuring Elon Musk,MLK/FBI,1.0,
Films starring Samuel L. Jackson,The Fighting Kentuckian,0.0,
Movies starring Akshay Kumar,Ekkadiki Pothavu Chinnavada,0.0,
A house haunted by malevolent spirits that terrorize a family,House on Haunted Hill (in Color),3.0,
Movies starring Amitabh Bachchan,Agneepath,5.0,
Musical comedy directed by Paul Hoen,Jim Breuer: And Laughter For All,,
Films starring Maggie Binkley,"Maggie Simpson in ""The Force Awakens from its Nap""",1.0,
A journey through outer space to find a new habitable planet for humanity,Last Call For Titan!,4.0,
A detective dealing with his own inner demons while chasing a serial killer,The Killer,0.0,
Musical comedy directed by Paul Hoen,Luck of the Irish,,
A detective dealing with his own inner demons while chasing a serial killer,Die Ontwaking,3.0,
Athletes overcoming severe physical injuries to win a championship,Miracle Kid,1.0,
A journey through outer space to find a new habitable planet for humanity,Pinkfong & Baby Shark's Space Adventure,1.0,
Movies starring Paresh Rawal,Angulika,,
Horror movies starring Danny Trejo,Trilogy of Terror,1.0,
Science fiction movies directed by Steven Spielberg,Prometheus,2.0,
Athletes overcoming severe physical injuries to win a championship,The Perfect Day,2.0,
Time travel causing complex paradoxes and altering historical events,About Time,3.0,
Action movies starring Samuel L. Jackson,The Last Full Measure,0.0,
Films starring Nicolas Cage,Inconceivable,5.0,
High school students forming a music band and dealing with youth problems,The Boys in the Band,0.0,
Romantic comedy dramas starring Shah Rukh Khan,Kath & Kimderella,2.0,
Coming of age story of a young boy finding his identity in a small town,Stargirl,4.0,
Action movies starring Samuel L. Jackson,The Zombie King,0.0,
A journey through outer space to find a new habitable planet for humanity,Gamera 2: Attack of the Legion,1.0,
Time travel causing complex paradoxes and altering historical events,Time Sleeper,3.0,
Psychological tension and family secrets between relatives,My Happy Family,3.0,
